Unique ID,feature_name,Honorees,City,County,State,Side,Coordinates,Symbol Type,Sponsors,Year Dedicated,Year Removed,Tracking Status,Removed After Charlottesville,Symbol Location,Symbol Type Other
786,Confederate Soldiers Monument,No specific honoree,Edenton,Chowan,NC,South,"36.057166,-76.609404",Monument,United Daughters of the Confederacy,1909,,Live,0,,
730,Confederate Dam,No specific honoree,Dillon,Beaverhead,MT,Not Applicable,"44.896705,-113.266073",Other,Unknown,,,Live,0,,Other
1125,Robert Lee Road,Robert E. Lee,Houston,Harris,TX,South,"29.809342,-95.372741",Roadway,Unknown,,,Live,0,,
1229,Stonewall Jackson Campground,"Thomas Jonathan ""Stonewall"" Jackson",Holliday,Archer,TX,South,"33.786852,-98.678798",Other,Unknown,,,Live,0,,Park
738,General Lee Avenue,Robert E. Lee,Dunn,Harnett,NC,South,"35.316850,-78.613496",Roadway,Unknown,,,Live,0,,
1151,Stonewall Road,"Thomas Jonathan ""Stonewall"" Jackson",Holliday,Archer,TX,South,"33.786665,-98.679892",Roadway,Unknown,,,Live,0,,
800,CSS Neuse Confederate Ironclad Gunboat Monument,No specific honoree,Kinston,Lenoir,NC,South,"35.259650,-77.583067",Monument,Unknown,,,Live,0,,
3126,B. F. Terry Boulevard,Benjamin Franklin Terry,Rosenberg,Fort Bend,TX,South,"29.545822,-95.770571",Roadway,Unknown,,,Live,0,,
759,Jefferson Davis Street,Jefferson Davis,Hope Mills,Cumberland,NC,South,"34.963585,-78.947438",Roadway,Unknown,,,Live,0,,
1136,Jeff Davis Street,Jefferson Davis,Marshall,Harrison,TX,South,"32.550215,-94.313883",Roadway,Unknown,,,Live,0,,
797,Confederate Soldiers Monument,No specific honoree,Jacksonville,Onslow,NC,South,"34.750880,-77.431360",Monument,United Daughters of the Confederacy; The Onslow Guards,1957,,Live,0,,
3129,John Reagan Street,John Henninger Reagan,Marshall,Harrison,TX,South,"32.549066,-94.317236",Roadway,Unknown,,,Live,0,,
2176,Dick Dowling Monument,Richard W. Dowling,Sabine Pass,Jefferson,TX,South,"29.732017,-93.894400",Monument,United Daughters of the Confederacy,1937,,Live,0,,
3130,Stuart Lane,"James Ewell Brown ""Jeb"" Stuart",Marshall,Harrison,TX,South,"32.550636,-94.318395",Roadway,Unknown,,,Live,0,,
3134,Dowling Road,Richard W. Dowling,Sabine Pass,Jefferson,TX,South,"29.733138,-93.894056",Roadway,Unknown,,,Live,0,,
1209,WWI and Confederate Soldier Monument,No specific honoree,Memphis,Hall,TX,South,"34.724914,-100.536714",Monument,United Daughters of the Confederacy,1924,,Live,0,Courthouse grounds,
1968,B. F. Terry High School,Benjamin Franklin Terry,Rosenberg,Fort Bend,TX,South,"29.544048,-95.772942",School,Unknown,1980,,Live,0,,
1212,Confederate Monument,No specific honoree,Rusk,Cherokee,TX,South,"31.795260,-95.150148",Monument,United Daughters of the Confederacy,1907,,Live,0,Courthouse grounds,
1137,Stonewall Drive,"Thomas Jonathan ""Stonewall"" Jackson",Marshall,Harrison,TX,South,"32.550239,-94.314454",Roadway,Unknown,,,Live,0,,
1108,Tom Green County,Thomas Green,San Angelo,Tom Green,TX,South,"31.462372,-100.439351",County/Municipality,State of Texas,1875,,Live,0,,
1974,Beauregard Avenue,Pierre Gustave Toutant-Beauregard,San Angelo,Tom Green,TX,South,"31.451711,-100.463442",Roadway,Unknown,,,Live,0,,
1940,Confederate Reunion Grounds State Historic Site,No specific honoree,Mexia,Limestone,TX,South,"31.631685,-96.560497",Other,United Confederate Veterans,1983,,Live,0,,Park
3143,Reagan Elementary School,John Henninger Reagan,San Angelo,Tom Green,TX,South,"31.478324,-100.444078",School,Unknown,,,Live,0,,
